H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
0.0,0.488,0.185,0.682,38.6,27.7,18.8,8.9,5.0,-3.0,99.0,103.0,0.545,1.0,0.455,0.364,0.774,41.1,18.8,14.3,10.7,5.4,17.0,112.5,94.7,0.5589999999999999,1,0.0,0.0,1500.0,1500.0
0.0,0.3979999999999999,0.286,0.833,44.8,20.0,13.3,2.9,8.6,-8.6,93.3,102.9,0.497,0.0,0.363,0.27,0.649,43.7,20.4,14.6,11.7,5.8,-7.8,97.1,104.9,0.466,1,0.0,0.0,1500.0,1500.0
1.0,0.415,0.28,0.613,49.5,19.4,11.7,6.8,6.8,2.9,101.0,98.1,0.483,0.0,0.446,0.421,0.636,39.4,20.2,10.6,7.7,8.7,-1.0,107.7,109.7,0.551,0,0.0,0.0,1500.0,1500.0
1.0,0.519,0.481,0.737,41.1,19.6,15.9,7.5,3.7,5.6,115.0,109.3,0.642,1.0,0.442,0.2689999999999999,0.944,56.3,27.2,20.4,6.8,6.8,7.8,104.9,97.1,0.525,0,0.0,0.0,1500.0,1500.0
1.0,0.494,0.412,0.75,55.3,25.2,20.4,4.9,3.9,1.0,109.7,107.7,0.602,1.0,0.5660000000000001,0.385,0.5379999999999999,59.4,30.2,20.8,2.1,7.3,29.2,115.6,87.4,0.626,1,0.0,0.0,1500.0,1500.0
0.0,0.429,0.316,0.889,47.9,20.8,11.5,9.4,2.1,-4.2,112.5,114.3,0.525,0.0,0.4,0.368,0.7440000000000001,49.0,17.0,16.0,4.0,0.0,-12.0,104.0,116.0,0.509,1,0.0,0.0,1500.0,1500.0
1.0,0.489,0.424,0.6,43.0,21.0,10.0,6.0,7.0,12.0,116.0,104.0,0.575,1.0,0.433,0.297,0.7140000000000001,52.4,20.0,14.3,6.7,4.8,17.1,100.0,82.1,0.509,1,0.0,0.0,1500.0,1500.0
0.0,0.298,0.345,0.821,29.5,16.8,10.5,11.6,3.2,-29.5,87.4,115.6,0.431,0.0,0.456,0.278,0.833,39.8,16.8,21.2,6.2,2.7,-16.8,94.7,112.5,0.546,1,0.0,0.0,1500.0,1500.0
1.0,0.531,0.4,0.773,51.4,34.3,11.4,7.6,2.9,18.1,124.8,107.7,0.608,0.0,0.516,0.368,0.667,34.6,15.9,8.4,7.5,2.8,-5.6,109.3,115.0,0.568,1,0.0,0.0,1500.0,1500.0
0.0,0.469,0.2689999999999999,0.7440000000000001,37.7,17.9,13.2,6.6,14.2,-0.9,105.7,107.6,0.57,1.0,0.478,0.397,0.667,46.0,22.5,11.5,4.5,5.0,12.0,114.5,103.0,0.569,0,0.0,0.1,1500.0,1509.3551966442667
1.0,0.379,0.3329999999999999,0.7859999999999999,53.8,19.2,10.6,5.8,8.7,8.7,102.9,93.3,0.507,1.0,0.5429999999999999,0.5589999999999999,0.875,46.3,36.8,12.6,5.3,2.1,22.1,127.4,105.3,0.687,1,0.0,0.0,1500.0,1500.0
0.0,0.432,0.303,0.7,40.0,29.5,9.5,7.4,5.3,-22.1,105.3,127.4,0.517,0.5,0.466,0.364,0.919,42.4,23.6,12.3,8.9,4.4,2.0,117.7,114.6,0.5820000000000001,1,0.0,0.1,1500.0,1507.2995159453064
0.5,0.5,0.364,0.65,49.5,21.7,18.7,4.5,5.1,5.6,107.1,101.0,0.565,0.5,0.49,0.298,0.7829999999999999,48.0,25.5,20.9,5.6,5.6,-0.5,105.6,106.1,0.584,1,0.0,0.1,1488.2238342432531,1503.88468596865
1.0,0.44,0.351,0.931,47.8,18.6,15.0,8.0,8.8,8.0,113.3,104.4,0.568,1.0,0.43,0.44,0.7240000000000001,53.1,22.4,12.2,3.1,4.1,4.1,114.3,112.5,0.53,1,0.0,0.0,1500.0,1500.0
0.0,0.484,0.233,0.759,40.4,20.2,13.2,8.8,5.3,-7.9,104.4,113.3,0.563,0.0,0.424,0.3329999999999999,0.75,35.6,20.2,11.5,7.7,6.7,-18.3,107.7,124.8,0.546,0,0.0,0.0,1500.0,1500.0
0.5,0.429,0.344,0.8240000000000001,39.4,16.8,9.1,10.6,3.4,8.2,111.1,102.9,0.529,0.5,0.418,0.342,0.708,51.0,24.5,15.2,5.4,5.4,2.9,101.0,97.1,0.499,0,0.0,0.0,1496.11531403135,1490.6448033557333
